actual,predicted,residual,home,away
-10,-0.2818091942468779,-9.718190805753123,Eels,Roosters
16,8.836790492422622,7.163209507577378,Sea Eagles,Dragons
-8,-11.661839050184108,3.661839050184108,Knights,Panthers
-6,6.399448788969545,-12.399448788969545,Dolphins,Storm
60,49.440654738340946,10.559345261659054,Titans,Warriors
18,15.329939380798123,2.6700606192018768,Roosters,Bulldogs
14,13.244821718275656,0.7551782817243442,Rabbitohs,Sea Eagles
24,4.411391043711345,19.588608956288656,Tigers,Raiders
1,-7.874497037111398,8.874497037111398,Bulldogs,Sharks
16,8.405140768819432,7.594859231180568,Warriors,Broncos
8,-0.7875663027339329,8.787566302733932,Knights,Eels
10,24.47559331182049,-14.47559331182049,Storm,Raiders
20,15.8348833685735,4.1651166314265,Dragons,Dolphins
-10,-4.2531846654638485,-5.7468153345361515,Panthers,Cowboys
34,31.898340277537237,2.101659722462763,Roosters,Tigers
-16,-6.062371394391306,-9.937628605608694,Eels,Rabbitohs
-4,-10.852913721150406,6.852913721150406,Sharks,Titans
-8,-14.366197685659298,6.366197685659298,Broncos,Panthers
1,-6.973311521930065,7.973311521930065,Bulldogs,Warriors
-12,-9.146274158679889,-2.853725841320111,Tigers,Storm
-1,-6.677209823387624,5.677209823387624,Cowboys,Sea Eagles
30,12.177649985567898,17.822350014432104,Roosters,Dragons
-4,-7.353290331887785,3.353290331887785,Raiders,Knights
8,-9.905639356049207,17.905639356049207,Dolphins,Rabbitohs
52,38.776497423999345,13.223502576000655,Sharks,Tigers
8,-2.438637741444605,10.438637741444605,Titans,Eels
-4,-10.305102894602646,6.305102894602646,Broncos,Dragons
38,28.105700395482,9.894299604518,Sea Eagles,Knights
2,-6.677340957224899,8.6773409572249,Raiders,Warriors
14,12.848598988205557,1.1514010117944427,Rabbitohs,Tigers
-16,-10.293817467229802,-5.706182532770198,Knights,Broncos
16,16.932665774557222,-0.932665774557222,Storm,Roosters
2,-2.183031342318863,4.183031342318863,Panthers,Dolphins
30,9.343178836846073,20.65682116315393,Sea Eagles,Titans
2,-4.590101074950696,6.590101074950696,Cowboys,Bulldogs
12,18.021072155654956,-6.021072155654956,Warriors,Tigers
-18,-8.062904222882715,-9.937095777117285,Eels,Storm
-25,-32.3626835209592,7.362683520959202,Broncos,Bulldogs
8,17.881902200625788,-9.881902200625788,Cowboys,Sharks
4,-6.806149480674122,10.806149480674122,Roosters,Sea Eagles
-36,-28.26955186063542,-7.730448139364579,Dragons,Panthers
-7,-20.372159634517676,13.372159634517676,Dolphins,Titans
20,8.907990665170097,11.092009334829903,Raiders,Rabbitohs
-18,-13.394809594398385,-4.605190405601615,Tigers,Cowboys
-10,-4.676778888278507,-5.323221111721493,Warriors,Eels
-6,-5.391550656559521,-0.608449343440479,Dolphins,Roosters
28,21.132141529524763,6.8678584704752375,Titans,Broncos
-2,-5.9607822207734396,3.9607822207734396,Storm,Dragons
14,4.430915375044128,9.569084624955872,Sharks,Rabbitohs
8,1.237597125464875,6.762402874535125,Panthers,Knights
4,10.554034111464603,-6.554034111464603,Bulldogs,Raiders
-12,-12.50171829304125,0.5017182930412503,Rabbitohs,Storm
-44,-15.187254240903789,-28.81274575909621,Titans,Sharks
-2,-6.6027891668182015,4.6027891668182015,Eels,Panthers
-22,-15.050683977913394,-6.949316022086606,Raiders,Sea Eagles
-24,-17.288934156383593,-6.711065843616407,Cowboys,Broncos
-18,-22.79928737919808,4.799287379198081,Dragons,Bulldogs
2,-2.350010209406445,4.350010209406445,Dolphins,Warriors
16,3.695804142307017,12.304195857692983,Knights,Tigers
-2,2.0888637087348796,-4.08886370873488,Panthers,Storm
14,15.565701142822295,-1.5657011428222951,Sea Eagles,Warriors
24,14.633407453618979,9.366592546381021,Roosters,Eels
20,27.24103615628968,-7.241036156289681,Bulldogs,Dolphins
38,31.99458062257515,6.00541937742485,Cowboys,Raiders
2,-12.379341994953897,14.379341994953897,Tigers,Rabbitohs
16,12.473599074085785,3.5264009259142153,Dragons,Titans
1,3.9435940038796105,-2.9435940038796105,Sharks,Knights
8,1.3948652575241411,6.605134742475859,Tigers,Sea Eagles
-16,-14.00620381809596,-1.99379618190404,Warriors,Bulldogs
6,10.222666387444333,-4.222666387444333,Broncos,Eels
4,-1.0470571805121542,5.047057180512154,Raiders,Panthers
42,45.24587456153746,-3.2458745615374625,Storm,Dolphins
-20,-12.029947168075019,-7.970052831924981,Rabbitohs,Knights
-26,-19.507494159437783,-6.492505840562217,Titans,Roosters
-28,-30.64130395099578,2.6413039509957805,Dragons,Sharks
8,-9.72435531244135,17.72435531244135,Cowboys,Storm
-12,-0.7724371346655033,-11.227562865334496,Bulldogs,Sea Eagles
22,24.64052698109574,-2.6405269810957392,Panthers,Rabbitohs
4,12.158382236901812,-8.158382236901812,Eels,Dragons
34,36.39820066522537,-2.3982006652253673,Dolphins,Broncos
-2,-11.559571137123855,9.559571137123855,Sharks,Warriors
22,10.886478748665466,11.113521251334534,Knights,Titans
-2,15.068412117212334,-17.068412117212333,Roosters,Raiders
-38,-38.4058900221888,0.40589002218879955,Broncos,Storm
-34,-27.307357679051115,-6.692642320948885,Tigers,Eels
-8,-9.578473356909901,1.5784733569099014,Rabbitohs,Roosters
-2,6.420654670857795,-8.420654670857795,Dragons,Raiders
-38,-27.36621924443311,-10.633780755566889,Bulldogs,Cowboys
6,11.506159738836269,-5.506159738836269,Panthers,Titans
-20,-24.004381036614244,4.0043810366142445,Sea Eagles,Sharks
8,2.4920391003530553,5.507960899646944,Knights,Dolphins
22,15.30115783387916,6.698842166120841,Raiders,Warriors
6,6.508864754830746,-0.5088647548307463,Panthers,Sharks
-36,-29.611418952038594,-6.388581047961406,Roosters,Broncos
-2,-8.866038857207847,6.8660388572078475,Tigers,Knights
